time_utc,pid,workingset_mb,handlecount,proc_count,total_ws_mb
2026-09-10T13:35:35.3704003Z,15480,8.5,98,2,96.2
2026-09-10T13:45:35.4184483Z,15480,8.5,98,2,96.4
2026-09-10T13:55:35.4418815Z,15480,8.5,98,2,96.4
2026-09-10T14:05:35.4825077Z,15480,8.5,98,2,96.7
2026-09-10T14:15:35.5013212Z,15480,8.5,98,2,96.7
2026-09-10T14:25:35.5152191Z,15480,8.5,98,2,96.7
2026-09-10T14:35:35.5423421Z,15480,8.5,98,2,96.8
2026-09-10T14:45:35.5658202Z,15480,8.5,98,2,96.8
2026-09-10T14:55:35.6115581Z,15480,8.5,98,2,96.8
2026-09-10T15:05:35.6292648Z,15480,8.5,98,2,96.8
2026-09-10T15:15:35.6504787Z,15480,8.5,98,2,96.9
2026-09-10T15:25:35.6635167Z,15480,8.5,98,2,96.9
2026-09-10T15:35:35.6985458Z,15480,8.5,98,2,96.8
2026-09-10T15:45:35.7321993Z,15480,8.5,98,2,96.9
2026-09-10T15:55:35.7515371Z,15480,8.5,98,2,96.9
2026-09-10T16:05:35.7731885Z,15480,8.5,98,2,96.9
2026-09-10T16:15:35.7907854Z,15480,8.5,98,2,96.9
2026-09-10T16:25:35.8144639Z,15480,8.5,98,2,97
2026-09-10T16:35:35.8328582Z,15480,8.5,98,2,96.9
2026-09-10T16:45:35.8561519Z,15480,8.5,98,2,97
2026-09-10T16:55:35.8735399Z,15480,8.5,98,2,97
2026-09-10T17:05:35.8958971Z,15480,8.5,98,2,96.9
2026-09-10T17:15:35.9117631Z,15480,8.5,98,2,97
2026-09-10T17:25:35.9240412Z,15480,8.5,98,2,97
2026-09-10T17:35:35.9461322Z,15480,8.5,98,2,96.9
2026-09-10T17:45:35.9864433Z,15480,8.5,98,2,97
2026-09-10T17:55:36.0035414Z,15480,8.5,98,2,97
2026-09-10T18:05:36.0208419Z,15480,8.5,98,2,97
2026-09-10T18:15:36.0415192Z,15480,8.5,98,2,97
2026-09-10T18:25:36.0656878Z,15480,8.5,98,2,97
2026-09-10T18:35:39.8917143Z,15480,8.5,98,2,97
2026-09-10T18:45:39.9159674Z,15480,8.5,98,2,97
2026-09-10T18:55:39.9456034Z,15480,8.5,98,2,97
2026-09-10T19:05:39.9567693Z,15480,8.5,98,2,97
2026-09-10T19:15:39.9750925Z,15480,8.5,98,2,97
2026-09-10T19:25:39.9891448Z,15480,8.5,98,2,97
2026-09-10T19:35:40.0129109Z,15480,8.5,98,2,97
2026-09-10T19:45:40.0315121Z,15480,8.5,98,2,97.1
2026-09-10T19:55:40.0500138Z,15480,8.5,98,2,97
2026-09-10T20:05:40.0726619Z,15480,8.5,98,2,97.1
2026-09-10T20:15:40.1103867Z,15480,8.5,98,2,97.1
2026-09-10T20:25:40.1252158Z,15480,8.5,98,2,97.1
2026-09-10T20:35:40.1419611Z,15480,8.5,98,2,97.3
2026-09-10T20:45:40.1530762Z,15480,8.5,98,2,97.3
2026-09-10T20:55:40.1790462Z,15480,8.5,98,2,97.3
2026-09-10T21:05:40.2032265Z,15480,8.5,98,2,97.3
2026-09-10T21:15:40.2203265Z,15480,8.5,98,2,105.3
2026-09-10T21:25:40.2382131Z,15480,8.5,98,2,105.5
2026-09-10T21:35:40.2721110Z,15480,8.5,98,2,105.6
2026-09-10T21:45:40.2918610Z,15480,8.5,98,2,105.6
2026-09-10T21:55:40.3253820Z,15480,8.5,98,2,105.6
2026-09-10T22:05:40.3442055Z,15480,8.5,98,2,105.6
2026-09-10T22:15:40.3602624Z,15480,8.5,98,2,105.6
2026-09-10T22:25:40.3746326Z,15480,8.5,98,2,105.6
2026-09-10T22:35:40.4028176Z,15480,8.5,98,2,105.6
2026-09-10T22:45:40.4255708Z,15480,8.5,98,2,105.6
2026-09-10T22:55:40.4362896Z,15480,8.5,98,2,105.6
2026-09-10T23:05:40.4576404Z,15480,8.5,98,2,105.6
2026-09-10T23:15:40.4926674Z,15480,8.5,98,2,105.6
2026-09-10T23:25:40.5194067Z,15480,8.5,98,2,105.6
2026-09-10T23:35:40.5398662Z,15480,8.5,98,2,105.6
2026-09-10T23:45:40.5583392Z,15480,8.5,98,2,105.6
2026-09-10T23:55:40.5742800Z,15480,8.5,98,2,105.6
2026-09-11T00:05:40.5879714Z,15480,8.5,98,2,105.5
2026-09-11T00:15:40.6078427Z,15480,8.5,98,2,105.6
2026-09-11T00:25:40.6241052Z,15480,8.5,98,2,105.6
2026-09-11T00:35:40.6458907Z,15480,8.5,98,2,105.5
2026-09-11T00:45:40.6566046Z,15480,8.5,98,2,105.6
2026-09-11T00:55:40.6728389Z,15480,8.5,98,2,105.6
2026-09-11T01:05:40.6923148Z,15480,8.5,98,2,105.5
2026-09-11T01:15:40.7022796Z,15480,8.5,98,2,105.6
2026-09-11T01:25:40.7262096Z,15480,8.5,98,2,105.6
